33 chapters, 1314 paragraphs, 176671 chars (core 869) (medium 206) (long 239)
Voice ne-NP-HemkalaNeural  rate -22%  pitch -6Hz  volume -12%

[bedtime] Bedtime: rate -22% pitch -6Hz, one clip per sentence
  ✓ ch01-p03-s02  (41 chars, 27KB)
  ✓ ch01-p03-s03  (60 chars, 38KB)
  ✓ ch01-p03-s05  (57 chars, 35KB)
  ✓ ch01-p03-s06  (16 chars, 15KB)
  ✓ ch01-p03-s04  (69 chars, 44KB)
  ✓ ch01-p03-s07  (15 chars, 15KB)
  ✓ ch01-p03-s08  (32 chars, 23KB)
  ✓ ch01-p04-s00  (33 chars, 24KB)
  ✓ ch01-p04-s01  (51 chars, 33KB)
  ✓ ch01-p05-s00  (35 chars, 25KB)
  ✓ ch01-p05-s02  (36 chars, 25KB)
  ✓ ch01-p05-s01  (43 chars, 28KB)
  ✓ ch01-p05-s03  (65 chars, 42KB)
  ✓ ch01-p06-s00  (54 chars, 33KB)
  ✓ ch01-p05-s04  (39 chars, 26KB)
  ✓ ch01-p06-s02  (46 chars, 30KB)
  ✓ ch01-p06-s03  (50 chars, 31KB)
  ✓ ch01-p07-s00  (49 chars, 33KB)
  ✓ ch01-p07-s01  (30 chars, 22KB)
  ✓ ch01-p06-s01  (68 chars, 41KB)
  ✓ ch01-p07-s02  (56 chars, 37KB)
  ✓ ch01-p08-s01  (32 chars, 22KB)
  ✓ ch01-p08-s00  (35 chars, 25KB)
  ✓ ch01-p07-s03  (56 chars, 36KB)
  ✓ ch01-p08-s02  (41 chars, 26KB)
  ✓ ch01-p08-s03  (26 chars, 17KB)
  ✓ ch01-p09-s00  (26 chars, 19KB)
  ✓ ch01-p09-s02  (65 chars, 39KB)
  ✓ ch01-p10-s00  (50 chars, 34KB)
  ✓ ch01-p09-s01  (85 chars, 50KB)
  ✓ ch01-p10-s01  (34 chars, 24KB)
  ✓ ch01-p10-s02  (38 chars, 26KB)
  ✓ ch01-p10-s03  (30 chars, 21KB)
  ✓ ch01-p11-s00  (37 chars, 27KB)
  ✓ ch01-p11-s01  (14 chars, 14KB)
  ✓ ch01-p11-s02  (15 chars, 16KB)
  ✓ ch01-p11-s03  (44 chars, 28KB)
  ✓ ch01-p11-s04  (52 chars, 33KB)
  ✓ ch01-p12-s00  (58 chars, 38KB)
  ✓ ch01-p13-s00  (37 chars, 27KB)
  ✓ ch01-p13-s01  (106 chars, 74KB)
  ✓ ch01-p13-s02  (97 chars, 57KB)
  ✓ ch01-p13-s04  (85 chars, 54KB)
  ✓ ch01-p13-s03  (109 chars, 67KB)
  ✓ ch01-p14-s00  (10 chars, 12KB)
  ✓ ch01-p14-s01  (44 chars, 31KB)
  ✓ ch01-p17-s00  (23 chars, 18KB)
  ✓ ch01-p17-s01  (27 chars, 21KB)
  ✓ ch01-p15-s00  (68 chars, 52KB)
  ✓ ch01-p20-s00  (16 chars, 16KB)
  ✓ ch01-p18-s00  (60 chars, 52KB)
  ✓ ch01-p20-s01  (53 chars, 34KB)
  ✓ ch01-p21-s00  (32 chars, 22KB)
  ✓ ch01-p21-s01  (93 chars, 67KB)
  ✓ ch01-p22-s01  (60 chars, 38KB)
  ✓ ch01-p21-s02  (60 chars, 41KB)
  ✓ ch01-p22-s02  (17 chars, 14KB)
  ✓ ch01-p22-s00  (40 chars, 28KB)
  ✓ ch01-p23-s00  (38 chars, 25KB)
  ✓ ch01-p24-s00  (13 chars, 15KB)
  ✓ ch01-p23-s01  (45 chars, 28KB)
  ✓ ch01-p24-s01  (50 chars, 31KB)
  ✓ ch01-p24-s02  (68 chars, 41KB)
  ✓ ch01-p24-s03  (94 chars, 54KB)
  ✓ ch01-p25-s00  (32 chars, 30KB)
  ✓ ch01-p25-s01  (40 chars, 24KB)
  ✓ ch01-p26-s00  (15 chars, 15KB)
  ✓ ch01-p27-s00  (48 chars, 33KB)
  ✓ ch01-p26-s01  (23 chars, 25KB)
  ✓ ch01-p27-s01  (50 chars, 33KB)
  ✓ ch01-p27-s02  (28 chars, 21KB)
  ✓ ch01-p28-s00  (44 chars, 28KB)
  ✓ ch01-p27-s03  (53 chars, 37KB)
  ✓ ch01-p28-s02  (36 chars, 26KB)
  ✓ ch01-p28-s01  (98 chars, 69KB)
  ✓ ch01-p29-s01  (66 chars, 46KB)
  ✓ ch01-p30-s00  (14 chars, 16KB)
  ✓ ch01-p29-s00  (63 chars, 39KB)
  ✓ ch01-p29-s02  (94 chars, 57KB)
  ✓ ch01-p30-s01  (51 chars, 36KB)
  ✓ ch02-p00-s00  (35 chars, 25KB)
  ✓ ch02-p00-s01  (32 chars, 21KB)
  ✓ ch02-p00-s02  (62 chars, 37KB)
  ✓ ch02-p01-s02  (27 chars, 19KB)
  ✓ ch02-p01-s01  (22 chars, 17KB)
  ✓ ch02-p01-s00  (50 chars, 36KB)
  ✓ ch02-p02-s00  (23 chars, 18KB)
  ✓ ch02-p02-s01  (94 chars, 56KB)
  ✓ ch02-p03-s00  (68 chars, 41KB)
  ✓ ch02-p03-s01  (26 chars, 20KB)
  ✓ ch02-p03-s02  (76 chars, 65KB)
